#OTU ID	6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	c2ff2968fc5eb368695f90ee12c20b86_bacteria	00fae520fc99f4b43a079be78714514a_bacteria	8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	6025a8d68dfe9ed561f3501b70ef5274_bacteria	871638cacece191a60d3f3fe9407c592_bacteria	c861b1ec2e390a9906dec7ee827ab766_bacteria	0a78918b318c9a666440b19941b2c94e_bacteria	55e2f6614bc214f35d8745edeee16727_bacteria	5d0942009326032f72c94ca27dc2015d_bacteria	61781934a20bd3368b0737d605f29468_bacteria	41e3305635db95437d26c71fbb3e9886_bacteria	11d0b6aaf61245ed190220edb6779865_bacteria	0c0605a3c4b75dfc31857a9167487df1_bacteria	5d45291972b34cd7f9c4cd55ca8a95ea_bacteria	334a4708e1cedc4f04c44f0f47d2f29e_bacteria	943689dc4b1c713707c1520019c4e91d_bacteria	162bf54549080b290d1ec8b0e6afbc1b_bacteria	d0c26a44a7a8b6ee4ba716861fc44da2_bacteria	c4e15ee4c6a6debb8ef308d21e737e8e_bacteria	d48f4cda1feee6851d5bcf2d520066b9_bacteria	0cb8dc0c56bd0e3524dba46d210b26c9_bacteria	a11e7d00f7f42af59b01f4684a52fa9d_bacteria	613010f6345bf00e94847229463fe089_bacteria	10608cb99e86b1430b6507d8fcb500e6_bacteria	1e2dd0b096801694733a077125a20228_bacteria	ad1bc6953fe661253a1301a0dffd0535_bacteria	30915dab539abea2a31d47ae7d90792e_bacteria	30432de9f6dd4c74cc5042a8d0ece70f_bacteria	f3f92c383527fe95a92d58291e300654_bacteria	20b02741232f1c067a84cab7b52256ee_bacteria	fb613c9c4a86c7589b321ffb051a485c_bacteria	ce8fe047f6c78ee3610cc355efd59beb_bacteria	eb9cdec519d0a08dcfb47dfac31c9b82_bacteria	cfad561ce0a5f1aaddf0970d204a1e35_bacteria	61ee56e0408347b925580754c0228fac_bacteria	9de1b23e9381d3596dec0fd5a5bfc900_bacteria	958e14f4806af8a06db61870561138f7_bacteria	44753606b01dd5d899e0c372598c574c_bacteria	54693a9cf3c76c547dc9b56b6e9b266f_bacteria	ed6fcc3e0305e5fa551e1c67f33c1226_bacteria	cb7f33c9ab6b6cc48e850692a6e57201_bacteria	87175665ea2f0ba525a6c4bce5e2d7f2_bacteria	a4496dfdf6cfe898e6e51cec293e31ef_bacteria	6b9ca3313d241ab32629d7d007bfa458_bacteria	c256985cf7f385fa0e158aac9692f64d_bacteria	0fcb5a5bdacde5be7714f3ec7f1658cb_bacteria	9fc26e6596f0b0189c6b268cc4d8d67b_fungi	a4830ec2beeeeaef48f6d7f401df4241_fungi	12907f7fde00bb40c358a652d79ffcb6_fungi	eaa0ba9ff4398edf205048df9a36f578_fungi	89206af4589b68a36b3313e1be7c6448_fungi	e02440bc2cf2fbd51ab6c6a48c297786_fungi	d7a05ca6b0cf4959a1d5af8842fb78fa_fungi	9a06988e426d7ef4663c568dcd331ca0_fungi	16010d640ae1f9ef8b46d9778d31166d_fungi	6dec4a7642385d3256e7c0ab2c05366d_fungi	5743cd46a67f26fc2a0a910a35f1b12f_fungi	d4ced3fcf757696111ad371371ff4cce_fungi	007761694cceb108c141cce8750b23b5_fungi	55d3ffaf20a40a432de7989e6d6d5a00_fungi	c0a6013edcd750f053a34cc2e955055c_fungi	25f16fb9e13dc11d9cdb2563441d93ea_fungi	84b78558c3c317566a13f29ab950da23_fungi	4745af0659fd8962bab4c6f134456248_fungi	45072f0f90af585d84d9e8b285570885_fungi	cd6040e6b124b405e0a57b6b2bc182a8_fungi	b5b89cca5a0cb0c01db814cb6f693f9f_fungi	6f919188220b0c82be4439bb63dd189e_fungi	8da1ea508fd29598a72e6a69c9fb5bad_fungi	5f279c746c8e0dc1b9305887f0cbae5a_fungi	2b58ac3373c047a1eebbf7a75e2e0552_fungi	39d163834966cd25a456abec8a6fb0a4_oomycete	cc72eaa86c2be573136acdf59cda9fc3_oomycete	0f9788d4711e28f5164af206bb783e13_oomycete	f797cf2765402dd3d1f72f7838c4a54c_oomycete	8d7bfbf1d9cc089639fe484763c3f188_oomycete	394dace7cd674dc9355c4f64bfada83f_eukaryote	5a7fabdfc2b1915ca336712e300eb727_eukaryote	99318de41dd49424cad9bf4501ab86ce_eukaryote	1f97c28f91d9a257362352f7c2958eb5_eukaryote	d9e763753ea6a20c2a574df095f60580_eukaryote	2a50651b2cbc9fc60afae81923de86d5_eukaryote	cdfb9490b3e043a9832cbace39b2d3fb_eukaryote	2a260e6160f0ac4a2e115072d5b0cd0f_eukaryote	487c6b41204a1730dbfcf55f8b8e3dc1_eukaryote	0b01e4d6558506012d0e1eaf493a5ded_eukaryote	3f795849e5ab98c40f875a580004f9f7_eukaryote	acc6f82c660def2e2f383dfb4f075933_eukaryote	6296e399d6b6f58b22cb3ffc96a1bcfe_eukaryote	850f9456f23d337e109baafd956b54d6_eukaryote
6b8c4022aecbbb83eeb5c79d9997ba1f_bacteria	6.3857	1.0408	1.8743	2.7887	0.4612	0.6719	1.6556	1.2987	2.7905	0.9136	1.5837	0.5897	1.9774	1.0904	-0.1673	1.7609	0.9453	0.2246	0.3352	1.8081	-0.3169	0.6737	-0.3173	0.0427	0.0531	-0.0156	0.7448	0.1241	-0.2977	1.0532	-0.2899	-0.0171	0.6199	0.4883	0.6281	0.2837	-0.5226	0.3726	-0.1015	-0.2130	0.2751	-0.1670	-0.8384	-0.4569	-0.0687	0.0829	0.2708	-0.6446	-1.9075	-1.9292	-0.1273	-2.4240	-0.6480	-0.9173	-1.6961	-0.7309	-1.8319	-1.8460	-1.2520	-0.6352	-1.2540	-0.9123	-0.6903	0.7653	-0.9568	-0.8942	-0.0411	-1.5568	-0.9590	0.0938	-0.6089	0.3741	1.8426	-2.9209	-0.8617	-0.2740	0.4452	0.0114	-2.8360	0.8403	0.1940	0.2521	-0.0413	-0.4660	-0.6174	0.9018	-0.0642	0.5132	0.9328	-0.2136	-0.4617
c2ff2968fc5eb368695f90ee12c20b86_bacteria	1.0408	14.4174	1.6231	-0.9505	-0.5226	0.1625	1.3886	2.2994	1.2658	1.4074	1.7616	1.0553	0.4280	-1.0120	0.7575	0.0651	0.0436	-0.1488	-1.3165	0.1839	-1.7275	1.2333	-0.4329	0.0739	0.4196	-0.5644	0.5252	0.4989	0.0193	0.0967	-0.6797	-0.5859	1.1912	-1.5515	-0.3872	-0.0000	-0.5541	-0.6060	0.1369	0.8580	0.3506	-0.2330	-0.9296	-0.4704	-0.4487	1.4990	0.1473	-2.4840	-1.0468	-1.7458	1.2004	0.1345	0.7071	-2.4113	0.1328	-0.7152	-1.2180	-1.4402	-1.7465	0.3241	-1.2221	-0.4823	-0.0267	0.2860	-2.0902	-1.7463	0.5918	-0.8001	-0.5781	0.3498	-0.1387	0.6320	1.9405	2.7751	-0.6831	0.8584	0.1069	-0.5119	1.9288	2.5085	-1.5142	-1.0902	0.3179	0.3273	-0.8052	-0.0430	-0.3758	-0.4653	2.1572	-0.3189	-0.0881
00fae520fc99f4b43a079be78714514a_bacteria	1.8743	1.6231	10.1225	0.4654	-0.2482	0.4667	3.8865	2.3975	3.9671	3.9911	1.4403	0.4705	1.9565	2.3109	0.9812	1.3917	0.5446	0.2606	-0.1366	0.3457	1.0852	3.0421	0.1242	0.8109	1.2060	-0.1049	0.8615	-0.8574	-1.7493	-0.4542	-2.3693	0.1385	0.6705	-0.3989	0.2877	0.7586	0.4495	0.5985	-1.6052	0.4440	0.2742	-0.2253	-1.0271	-0.4825	0.1212	0.0433	-1.1433	-1.2208	-1.0527	-1.1904	-1.1270	-2.6091	0.1057	-1.1766	-1.4189	-0.4795	-1.2687	-1.8059	-1.7854	-1.0306	-0.9647	-1.4713	-2.1716	0.1074	-1.1523	-0.3678	-0.9996	-1.5560	-0.8041	0.0800	-1.6066	-0.1096	0.2197	-0.1827	0.2040	0.2900	0.0129	0.1445	1.0492	0.0484	-1.2717	-0.0539	-0.5965	0.0322	-0.4690	-0.4912	0.0577	0.8201	0.8868	-0.0626	-1.1929
8a9c84e7a7a0bbd8676a92d4435fe8a4_bacteria	2.7887	-0.9505	0.4654	8.5796	0.9339	0.8501	1.9105	1.3074	2.0377	0.6554	2.0560	-1.1465	3.2732	0.8721	-1.0781	1.1583	1.1742	0.0799	0.8096	2.5897	-0.6718	1.5605	-0.6444	-0.3188	-0.1791	0.4464	0.4701	0.1749	0.4499	1.3507	-0.9702	1.0847	0.8142	0.7593	0.8251	-0.3629	-0.1958	0.7502	-0.4712	-0.0494	0.8122	0.0149	-0.2017	0.1287	0.5446	-0.5041	-0.2210	-0.2662	-1.1740	-0.3844	-0.2887	-2.4651	-0.6172	-0.7515	-1.6059	0.6875	-1.7116	-1.0491	0.9884	-1.1867	-1.1478	-1.0248	-1.3942	0.0371	-0.8115	-0.1224	-0.3233	-1.0995	-0.7412	-0.7278	-1.0940	-0.3695	0.6506	-1.6765	-0.8894	-1.5180	0.4638	-1.3641	-1.2789	0.0838	0.0051	0.2608	-0.2319	-0.6705	-0.6479	1.2080	-0.2433	0.9769	-0.2918	-1.0161	-0.5144
6025a8d68dfe9ed561f3501b70ef5274_bacteria	0.4612	-0.5226	-0.2482	0.9339	4.7131	0.6972	0.3202	-0.7065	0.7142	1.1207	0.5326	0.1604	0.0414	-0.0224	0.0807	0.3835	1.2356	1.9545	1.9325	1.6948	-1.1919	-1.0705	-0.1846	1.3601	-0.3835	0.4228	-0.0364	-0.0286	-0.4534	-0.9436	0.1866	-0.6500	0.5303	1.4344	1.7421	-0.1932	-1.2937	1.5348	-0.5138	-0.4144	1.4833	1.5076	0.3007	-0.5789	0.5881	-1.0048	-0.4299	-1.0841	-1.0431	-0.6197	0.4349	-0.3977	-0.7936	-0.8678	-0.4810	-0.2349	-0.2359	-1.2724	-1.2628	-0.3000	-0.2847	-0.3843	-0.8163	-0.5927	-0.6590	-0.5904	-0.0194	-0.4822	-0.7646	-0.5387	-0.4188	-0.3401	0.0272	-0.0307	0.7344	-0.0230	1.3099	-0.8679	-0.6535	-1.0124	1.1721	0.9216	0.7856	0.0953	0.0203	1.0468	0.1907	-0.4969	-1.1401	-0.0099	0.3380
871638cacece191a60d3f3fe9407c592_bacteria	0.6719	0.1625	0.4667	0.8501	0.6972	5.5126	0.6322	0.3777	1.1273	0.4311	0.2595	-0.1387	0.9396	0.9217	0.0092	0.8540	0.2959	0.5351	0.0002	-0.8785	-0.4540	0.0962	-0.4553	0.6037	-0.4366	0.5495	0.8984	-0.6733	-0.8445	-0.6478	-0.6045	0.2954	0.6149	0.8761	-0.1842	-0.2858	-0.1004	-0.1277	-0.3702	0.2078	0.6592	0.1752	1.0150	0.2870	0.1169	-0.1325	-0.5432	-0.6649	0.0363	-0.9208	-0.6390	0.4134	-0.5600	-1.0181	0.2983	-0.5619	-0.1040	-1.2751	-1.0403	-0.1843	-0.4095	0.0610	-0.7189	-0.6043	-0.3457	-0.4890	-0.3612	0.1262	-0.2254	-0.5345	0.0996	-0.1517	1.1037	0.7105	-0.6171	-0.6749	-0.0601	0.3841	1.2413	0.5946	-0.3830	0.0100	-0.4606	0.4073	-0.2911	-0.0396	0.4286	-0.6127	-0.2138	-0.2179	0.0979
c861b1ec2e390a9906dec7ee827ab766_bacteria	1.6556	1.3886	3.8865	1.9105	0.3202	0.6322	7.1680	1.8226	3.8784	3.2750	1.4627	0.7002	2.4902	3.0201	0.2464	2.8833	0.3547	0.4313	0.2477	0.9749	0.9505	3.1338	0.0436	0.7550	0.5794	0.2767	0.7507	-0.2952	-1.1265	-0.6145	-0.6212	0.6428	1.1239	0.3111	0.1471	0.2500	-0.0591	0.5147	-0.9364	0.3739	0.4378	-0.1484	-0.4810	-0.8865	0.1269	0.1442	-1.1193	-1.7545	-1.1016	-0.6937	-0.9650	-2.4999	-0.9685	-0.7213	-1.1633	-0.2977	-0.8447	-1.7159	-1.2869	-0.9344	-1.0694	-1.6315	-1.7094	0.1945	-1.1334	-0.9788	0.0654	-1.0821	-1.0677	-1.3128	-1.2665	-1.1589	-1.9602	-0.9184	0.0777	0.2591	0.0535	-2.1669	-1.4038	0.2005	-0.4546	0.1893	0.5260	-0.2919	-0.7762	-0.1434	-0.0897	0.1079	-0.1090	-0.2763	-0.8141
0a78918b318c9a666440b19941b2c94e_bacteria	1.2987	2.2994	2.3975	1.3074	-0.7065	0.3777	1.8226	12.8213	0.8733	0.4759	0.7469	-1.7543	-0.3912	-0.9690	2.1551	-0.4025	0.8187	-0.3955	-0.9808	-0.1265	1.1264	1.0043	-0.0083	-0.2192	-0.4003	-0.6951	-0.4173	-0.1914	0.7784	-0.0929	-1.5628	1.8849	0.9339	-0.1253	-0.3637	0.0569	-0.3293	-0.9087	-0.8835	0.5802	0.0908	-0.0847	0.4053	-0.2729	-0.9435	0.0834	-0.6286	-1.5614	-1.0871	-2.7686	-0.4410	-0.1063	-0.2849	-0.4590	0.5962	-1.4209	-1.2406	-1.8038	-1.4781	-0.5702	-1.2754	-0.0301	0.0851	-0.2525	-1.7354	-0.8514	-0.9018	-0.8708	-0.3445	0.9483	-0.4262	2.7198	1.5639	4.2350	1.3711	-0.3060	0.2804	1.3356	4.5298	1.2052	-0.8006	0.3795	-1.3443	-0.9702	-0.9222	-1.8457	-0.7452	1.3290	1.0072	-1.5621	-0.4963
55e2f6614bc214f35d8745edeee16727_bacteria	2.7905	1.2658	3.9671	2.0377	0.7142	1.1273	3.8784	0.8733	9.1047	2.6040	2.1070	0.8314	2.5447	2.1002	0.0021	2.7438	0.7959	0.4769	0.5510	0.6538	-0.1880	2.3936	-0.4923	0.7823	0.3521	0.2092	1.3245	-0.6873	-1.9402	0.4507	-0.6458	0.5131	1.7651	0.5045	0.6520	-0.2022	-0.1594	0.7686	-0.5900	0.5277	0.8644	-0.0146	0.4820	0.0492	0.1101	0.5683	-1.0027	-1.5328	-1.7839	-1.5720	-0.9882	-2.6843	-1.0406	-2.3412	-2.1326	-1.1269	-1.9740	-2.0808	-2.2322	-1.1146	-1.0016	-1.6436	-2.5345	-0.0174	-1.2535	-0.9168	0.3518	-1.5275	-1.5057	-0.6495	-2.0085	-0.0815	1.2039	-1.8374	-0.3559	-0.0381	0.5058	-0.8672	-2.0368	1.0196	-0.1444	0.5379	0.4975	0.2211	-0.3516	0.2339	0.3139	0.2572	-0.2680	-0.0288	-0.6082
5d0942009326032f72c94ca27dc2015d_bacteria	0.9136	1.4074	3.9911	0.6554	1.1207	0.4311	3.2750	0.4759	2.6040	9.2201	1.0008	0.6657	0.6278	2.0096	0.7190	2.3297	0.2713	0.8183	0.4788	0.2139	-0.0807	2.3093	0.7783	1.3377	0.7691	0.1848	0.3326	-0.3282	-1.2080	-1.6635	-0.8680	0.4868	1.7633	0.3802	0.0960	1.2230	0.4102	0.6544	-1.8428	0.7112	0.4429	0.5607	-1.5073	-1.1843	0.5030	-0.1796	-1.1911	-1.5055	-0.9044	-0.5611	-0.2714	-2.8915	-0.2605	-0.3656	-1.5318	-1.1684	-0.8398	-1.7565	-1.9390	-0.5208	-0.9796	-1.4988	-1.1034	-0.1392	-1.1130	0.3670	-0.2027	-1.2925	-1.3325	-0.4989	-1.3650	-0.4716	0.1229	-2.1317	1.1845	0.5029	0.7242	-1.1548	-0.8511	0.1594	-1.1582	-0.4496	-0.2329	0.3173	-0.7850	0.7228	0.5656	-0.4140	0.6292	-0.0141	-0.7628
61781934a20bd3368b0737d605f29468_bacteria	1.5837	1.7616	1.4403	2.0560	0.5326	0.2595	1.4627	0.7469	2.1070	1.0008	7.7534	1.6689	3.2805	2.4728	1.1053	2.2053	1.1933	0.3654	1.8794	0.6999	-0.8516	1.0888	-0.5497	0.4278	-0.0896	-0.1621	1.6497	-1.2691	-1.4261	0.1875	-1.0297	-0.0964	1.6436	0.8555	0.4789	-0.3538	-0.6403	0.7518	-0.8779	0.0555	0.4622	0.6176	0.0889	-0.8833	0.0026	0.5343	-1.3696	-0.9679	-1.3984	-1.5133	-1.1556	-1.7581	-1.3187	-0.6216	-1.2992	-0.9044	-1.2288	-2.1585	-1.9156	-0.1858	-0.8210	-1.1001	-1.9379	-1.1210	-1.0172	-1.3170	-0.4536	-1.4595	-2.0247	-0.7073	-1.3514	0.4267	1.6326	1.0516	-0.5920	-0.4497	0.5755	-1.4446	-1.9501	0.5943	0.5014	1.9193	1.2307	0.1742	0.2182	-0.4844	-0.0001	0.6269	0.2994	-0.8118	0.0298
41e3305635db95437d26c71fbb3e9886_bacteria	0.5897	1.0553	0.4705	-1.1465	0.1604	-0.1387	0.7002	-1.7543	0.8314	0.6657	1.6689	8.9261	0.6655	2.3249	0.1097	2.3131	-0.1820	0.5370	1.1999	-0.2557	0.7755	-0.3143	0.5317	1.5385	-0.8117	1.0202	1.0894	-0.6906	-1.2200	-0.6429	0.6247	-1.2779	0.2281	0.4710	-0.0725	0.1876	-0.0656	0.6773	0.0636	0.0412	0.1631	0.4745	-0.9084	-0.6876	0.0724	0.4959	-0.4602	-1.1265	-0.4757	-1.6993	-0.7026	0.4390	-0.5294	-0.2034	0.3112	-0.6695	0.4122	-1.1244	-2.0930	-0.0684	-0.1533	-0.3951	-0.2866	-0.4482	0.0088	-0.4060	-0.3242	-0.1364	-0.8465	-0.1893	-0.6109	-0.7387	-0.9906	-0.1189	0.7847	1.4261	0.1701	-1.3330	-2.3917	0.7834	0.7073	0.7070	0.8241	-0.3464	0.5817	0.1310	0.4522	0.3221	-0.3933	0.1479	-0.1301
11d0b6aaf61245ed190220edb6779865_bacteria	1.9774	0.4280	1.9565	3.2732	0.0414	0.9396	2.4902	-0.3912	2.5447	0.6278	3.2805	0.6655	7.3600	3.3607	-0.7329	3.0633	0.4719	-0.0515	0.4854	1.4031	-0.6542	2.3257	-0.6560	-0.2204	0.0530	0.4685	1.6208	-0.6094	-0.8176	0.9005	-1.3277	0.7987	0.7547	0.5584	0.2056	0.2849	0.4117	0.6120	-0.3312	-0.2705	0.2130	-0.2046	0.1096	-0.1721	0.5865	0.0177	-0.9759	-1.4966	-2.2225	-1.0829	-0.8259	-1.8576	-0.7111	-0.2554	-1.2914	-0.0401	-0.8226	-1.4713	-0.1021	-0.7084	-0.8663	-0.8057	-1.8761	-0.5045	-0.9656	-1.0384	-0.0668	-1.0596	-0.8723	-0.8663	-1.3715	-0.2243	1.9562	-1.1445	-0.7583	-0.4251	0.4366	-0.4522	-2.1149	-0.5788	0.0523	0.2694	-0.0048	-0.0842	-0.6743	0.3448	-0.7443	0.1621	-0.4520	-0.7691	-0.0176
0c0605a3c4b75dfc31857a9167487df1_bacteria	1.0904	-1.0120	2.3109	0.8721	-0.0224	0.9217	3.0201	-0.9690	2.1002	2.0096	2.4728	2.3249	3.3607	7.7134	1.5064	3.5940	-0.7148	-0.0992	0.3811	-0.2465	1.4207	3.4460	0.2607	0.5542	0.1800	0.4600	0.5894	-1.4865	-1.7413	-0.3851	-1.1996	1.1340	1.2619	0.4720	-0.7794	0.3693	0.6365	0.6948	-1.0981	0.6610	-0.2120	-0.2567	0.5547	-0.7486	0.2107	0.1027	-1.2150	-0.7722	-0.2908	0.0280	-1.9322	-0.8593	-1.4457	0.2779	-0.7441	-0.1964	0.1249	-0.8598	-1.1619	-0.2951	-0.5416	-0.9059	-1.2798	-1.1275	-0.2206	-0.6636	-0.3529	-0.9909	-0.9527	-1.0117	-1.0028	-1.4663	-1.5956	-1.7102	-0.0897	0.8350	-0.4903	-2.1209	-2.5277	0.2909	0.2650	0.7911	-0.6555	0.2985	0.0155	-0.7453	0.3387	0.1056	-0.0762	0.1893	-0.4138
5d45291972b34cd7f9c4cd55ca8a95ea_bacteria	-0.1673	0.7575	0.9812	-1.0781	0.0807	0.0092	0.2464	2.1551	0.0021	0.7190	1.1053	0.1097	-0.7329	1.5064	7.2157	0.7732	-0.2857	0.0604	0.1860	-1.7392	1.9855	1.1394	0.3318	0.0031	-0.0661	0.1100	-0.5945	-0.8623	-0.7763	-0.5202	-0.2554	0.5709	1.1181	-0.1131	-0.3973	-0.1174	0.5433	-0.2588	-0.9224	1.4918	-0.2874	0.0094	1.1712	-0.5751	-0.3045	0.1729	-0.7980	0.0688	1.5758	-0.7018	-0.2806	0.6818	-1.2951	0.4840	-0.3663	-0.9861	-0.4302	-1.0442	-1.7999	0.2291	-0.9146	0.1804	-0.0212	-1.4685	-0.2045	-1.0420	-0.8228	-0.5020	-0.8041	-0.6140	-0.0758	-0.3973	-0.8674	1.3349	0.4399	1.5611	-0.0585	-2.0798	-0.4024	1.4317	0.2877	1.4313	0.0849	-0.3116	1.0012	-1.2147	0.7210	0.2371	0.5221	-0.0968	-0.0099
334a4708e1cedc4f04c44f0f47d2f29e_bacteria	1.7609	0.0651	1.3917	1.1583	0.3835	0.8540	2.8833	-0.4025	2.7438	2.3297	2.2053	2.3131	3.0633	3.5940	0.7732	7.6744	-0.2974	0.2703	0.7335	0.5349	0.7678	2.6519	0.0043	0.8968	-0.0527	0.4909	0.7646	-0.5650	-1.1760	0.2427	0.4981	1.1120	1.3724	0.3736	-0.0412	0.1149	0.0064	0.8820	-0.6750	0.0370	-0.3473	-0.0115	-0.6116	-0.6423	-0.0897	0.2519	-0.6755	-0.9208	-0.1768	-0.6793	-0.5335	-1.3470	-1.5458	-1.1103	-1.0931	-1.2648	-0.9151	-1.9422	-1.6216	-0.2233	-1.3956	-1.2941	-0.6838	-0.1929	-1.3087	-1.5998	0.1415	-1.2216	-1.4734	-1.5975	-0.8899	-1.2240	0.0041	-1.9828	-0.1474	0.6937	0.4865	-1.9264	-2.5281	0.8056	0.0588	0.2066	0.1700	0.3202	-0.3211	0.2210	0.6423	-0.7687	-0.8343	-0.4908	-0.5665
943689dc4b1c713707c1520019c4e91d_bacteria	0.9453	0.0436	0.5446	1.1742	1.2356	0.2959	0.3547	0.8187	0.7959	0.2713	1.1933	-0.1820	0.4719	-0.7148	-0.2857	-0.2974	4.6020	1.1455	1.6153	1.7831	-0.7710	-0.4245	0.3743	0.9435	-0.4864	-0.1366	0.3563	0.3392	-0.0377	0.2126	-0.2614	-0.3905	-0.0019	1.4735	1.9170	0.3940	-0.7189	0.9118	-0.2285	-0.9492	1.0969	0.8586	0.3911	0.4499	0.2423	-0.8532	-0.3773	-1.0236	-1.7452	-1.3431	0.3055	-1.3266	-0.9832	-0.3708	-0.8812	-0.6481	-1.1122	-0.5844	-0.8778	-0.6235	-0.6423	-0.5812	-1.4114	0.2833	-0.3443	-0.4877	-0.0393	-0.8754	-0.8918	-0.1043	-0.8475	0.8247	0.7749	0.5964	-0.0287	-0.5509	1.1677	-1.0067	-0.2985	-0.3707	0.3839	0.7004	1.5716	-0.7783	-0.0377	0.5166	0.0140	0.4736	-0.5429	-0.5918	-0.1841
162bf54549080b290d1ec8b0e6afbc1b_bacteria	0.2246	-0.1488	0.2606	0.0799	1.9545	0.5351	0.4313	-0.3955	0.4769	0.8183	0.3654	0.5370	-0.0515	-0.0992	0.0604	0.2703	1.1455	4.1409	1.6548	1.5494	-0.5605	-1.0341	0.7063	1.6002	-0.2808	0.8810	-0.3499	0.2461	-0.2808	-0.8281	0.9485	-0.7642	0.1889	1.5594	1.3398	0.2945	-0.4465	1.4088	-0.0178	-0.3390	1.3288	1.4582	0.2869	-0.3542	0.8393	-0.8370	-0.2649	-0.9508	-1.2735	-1.3592	0.6202	-0.8401	-0.8365	-0.2495	-0.5929	-0.6366	-0.8533	-1.1591	-1.7265	-0.5534	-0.4899	-0.5453	-0.5154	-0.0080	-0.3217	-0.6524	-0.1811	-0.4872	-0.5707	0.0581	-0.3694	0.0424	-0.3176	-0.4407	0.6773	0.2243	1.0388	-0.8592	-0.6205	-0.8133	0.4395	0.5603	0.5459	-0.5962	-0.1762	0.8038	0.0943	-0.9867	-0.9219	-0.0007	0.1876
d0c26a44a7a8b6ee4ba716861fc44da2_bacteria	0.3352	-1.3165	-0.1366	0.8096	1.9325	0.0002	0.2477	-0.9808	0.5510	0.4788	1.8794	1.1999	0.4854	0.3811	0.1860	0.7335	1.6153	1.6548	5.2630	2.3365	-0.4876	-0.3224	0.3546	1.2242	-0.3608	0.7323	0.3719	-0.3161	-0.4111	-0.6758	0.4792	-1.2081	0.2880	1.8902	1.4192	-0.2536	-0.8531	1.6481	-0.1951	-0.8093	1.0287	1.8469	0.3756	-0.4530	0.8398	-0.9855	-0.4110	-0.5060	-0.9358	-1.4917	-0.1758	-1.0237	-1.1793	0.2594	-0.8387	0.1830	-0.9294	-0.7122	-1.3050	-0.5739	-0.3043	-0.5552	-0.8599	-1.0171	-0.1008	-0.7821	-0.9197	-0.6740	-1.1440	-0.6741	-0.6667	0.1455	-0.2463	0.9536	-0.0902	-0.7236	0.8562	-2.0336	-1.0793	-0.9933	1.0709	1.2248	1.5050	-0.2925	0.6041	0.7624	0.1604	-0.0291	-0.8791	-0.2439	0.1623
c4e15ee4c6a6debb8ef308d21e737e8e_bacteria	1.8081	0.1839	0.3457	2.5897	1.6948	-0.8785	0.9749	-0.1265	0.6538	0.2139	0.6999	-0.2557	1.4031	-0.2465	-1.7392	0.5349	1.7831	1.5494	2.3365	8.0735	-1.5195	0.2807	0.3203	1.1323	0.0052	0.8279	0.7533	1.6399	1.5471	0.9379	1.2298	-0.8888	0.2735	0.9300	2.1668	-0.1726	-1.3519	3.0157	0.4714	-1.1859	1.5456	1.2434	-0.4913	-0.4779	1.3388	-0.9723	0.9109	-1.6870	-2.1241	-1.6151	0.4313	-2.4362	-1.4792	-0.8910	-1.8879	0.2776	-1.6127	-0.3757	-0.4586	-1.6839	-0.6556	-1.2259	-0.6628	1.5999	-1.3810	-2.0489	0.2277	-1.4811	-0.1420	-0.4266	-1.3438	-0.1452	0.2170	-1.1258	0.2389	-0.7155	2.0030	-2.0544	-1.5618	-0.8612	0.2855	0.0724	1.1494	-1.1216	-0.3001	1.6786	-1.0240	0.2983	-0.0116	0.1791	-0.7456
d48f4cda1feee6851d5bcf2d520066b9_bacteria	-0.3169	-1.7275	1.0852	-0.6718	-1.1919	-0.4540	0.9505	1.1264	-0.1880	-0.0807	-0.8516	0.7755	-0.6542	1.4207	1.9855	0.7678	-0.7710	-0.5605	-0.4876	-1.5195	8.0826	1.8638	0.3535	-0.2316	-0.7455	-0.0412	-0.3554	-0.1380	0.3075	-0.1071	-0.3824	1.2240	-0.6596	-0.7710	-1.0968	0.1712	1.4244	-1.2315	0.0252	0.1557	-1.1927	-0.5355	0.5876	0.4438	-0.7230	0.1356	0.2403	0.2491	1.7983	1.1578	-0.3446	-0.2563	-0.4387	1.2766	-0.0408	0.9868	0.1493	0.1697	0.6154	-0.1645	-0.8029	-0.5575	1.3449	-0.5312	0.4637	-0.2948	-1.6449	-0.0276	0.1042	0.1224	-0.0531	-0.8906	-2.5574	1.8278	1.1548	1.8662	-0.3815	-1.0930	1.1501	0.0627	-0.0447	0.5055	-1.3127	0.1418	0.3094	-1.6671	0.2585	0.8038	0.3075	-0.3946	-0.4866
